SA2	SA2 Name	ABSTUDY (Living allowance)	ABSTUDY (Non-living allowance)	Age Pension	Austudy	Carer Allowance	Carer Allowance (Child Health Care Card only)	Carer Payment	Commonwealth Rent Assistance	Commonwealth Seniors Health Card	Disability Support Pension	Family Tax Benefit A	Family Tax Benefit B	Health Care Card	JobSeeker Payment	Low Income Card	Parenting Payment Partnered	Parenting Payment Single	Pension Concession Card	Special Benefit	Youth Allowance (other)	Youth Allowance (student and apprentice)	Total Count
101021007	Braidwood	0.00	5.00	495.00	5.00	85.00	5.00	55.00	150.00	175.00	140.00	200.00	155.00	155.00	115.00	15.00	5.00	45.00	810.00	0.00	10.00	5.00	2630.00
101021008	Karabar	5.00	10.00	740.00	5.00	205.00	5.00	80.00	325.00	155.00	305.00	395.00	340.00	320.00	215.00	25.00	10.00	135.00	1385.00	0.00	30.00	5.00	4695.00
101021009	Queanbeyan	5.00	5.00	1055.00	5.00	165.00	5.00	55.00	610.00	190.00	390.00	405.00	335.00	330.00	305.00	25.00	15.00	115.00	1785.00	5.00	35.00	15.00	5855.00
101021010	Queanbeyan - East	0.00	5.00	335.00	5.00	70.00	5.00	25.00	255.00	75.00	130.00	200.00	175.00	145.00	115.00	10.00	5.00	50.00	600.00	0.00	10.00	5.00	2220.00
101021012	Queanbeyan West - Jerrabomberra	5.00	5.00	550.00	5.00	175.00	5.00	40.00	205.00	175.00	160.00	335.00	255.00	255.00	140.00	25.00	10.00	75.00	890.00	0.00	10.00	15.00	3335.00
101021610	Googong	0.00	0.00	120.00	5.00	70.00	0.00	15.00	65.00	35.00	40.00	180.00	125.00	90.00	25.00	10.00	5.00	25.00	220.00	0.00	5.00	5.00	1040.00
101021611	Queanbeyan Surrounds	5.00	5.00	855.00	5.00	215.00	5.00	60.00	250.00	405.00	200.00	390.00	295.00	310.00	145.00	30.00	10.00	80.00	1285.00	0.00	15.00	10.00	4575.00
101031013	Bombala	0.00	0.00	340.00	0.00	70.00	0.00	35.00	130.00	65.00	105.00	130.00	105.00	105.00	80.00	25.00	5.00	40.00	575.00	0.00	5.00	5.00	1820.00
101031014	Cooma	5.00	5.00	955.00	5.00	165.00	5.00	70.00	505.00	165.00	295.00	335.00	265.00	265.00	195.00	30.00	15.00	100.00	1540.00	5.00	20.00	10.00	4955.00
101031015	Cooma Surrounds	0.00	5.00	390.00	0.00	70.00	0.00	25.00	70.00	115.00	95.00	130.00	80.00	105.00	85.00	15.00	5.00	20.00	605.00	0.00	10.00	5.00	1830.00
101031016	Jindabyne - Berridale	0.00	0.00	485.00	5.00	65.00	5.00	20.00	180.00	225.00	95.00	230.00	145.00	190.00	120.00	35.00	5.00	25.00	685.00	0.00	10.00	10.00	2535.00
101041017	Batemans Bay	5.00	25.00	1675.00	5.00	320.00	5.00	150.00	790.00	280.00	515.00	550.00	440.00	495.00	405.00	65.00	20.00	190.00	2790.00	0.00	50.00	15.00	8790.00
101041018	Batemans Bay - South	5.00	15.00	1770.00	5.00	325.00	5.00	155.00	665.00	380.00	410.00	495.00	385.00	395.00	300.00	65.00	15.00	150.00	2670.00	0.00	30.00	5.00	8245.00
101041019	Bega - Tathra	5.00	15.00	1340.00	5.00	240.00	5.00	115.00	590.00	270.00	405.00	575.00	440.00	395.00	285.00	50.00	15.00	155.00	2220.00	5.00	45.00	25.00	7200.00
101041020	Bega-Eden Hinterland	5.00	5.00	1330.00	10.00	270.00	5.00	140.00	310.00	285.00	450.00	590.00	420.00	490.00	375.00	65.00	30.00	120.00	2295.00	0.00	25.00	20.00	7240.00
101041021	Broulee - Tomakin	5.00	5.00	675.00	5.00	90.00	0.00	25.00	225.00	195.00	115.00	160.00	115.00	135.00	85.00	20.00	5.00	40.00	920.00	0.00	10.00	10.00	2840.00
101041022	Deua - Wadbilliga	0.00	0.00	5.00	0.00	5.00	0.00	5.00	5.00	5.00	5.00	5.00	0.00	5.00	5.00	0.00	0.00	0.00	15.00	0.00	0.00	0.00	60.00
101041023	Eden	5.00	10.00	660.00	5.00	90.00	5.00	55.00	315.00	125.00	225.00	225.00	185.00	190.00	185.00	25.00	10.00	70.00	1130.00	5.00	20.00	5.00	3545.00
101041024	Eurobodalla Hinterland	5.00	10.00	485.00	5.00	110.00	0.00	50.00	180.00	145.00	195.00	210.00	155.00	200.00	185.00	35.00	10.00	50.00	910.00	0.00	20.00	10.00	2970.00
101041025	Merimbula - Tura Beach	5.00	5.00	2265.00	5.00	250.00	0.00	95.00	685.00	525.00	385.00	495.00	380.00	345.00	230.00	70.00	15.00	125.00	3040.00	5.00	20.00	15.00	8960.00
101041026	Moruya - Tuross Head	5.00	10.00	1735.00	5.00	280.00	5.00	135.00	545.00	355.00	500.00	450.00	340.00	415.00	340.00	70.00	20.00	125.00	2750.00	5.00	35.00	10.00	8135.00
101041027	Narooma - Bermagui	5.00	15.00	2160.00	5.00	285.00	5.00	150.00	750.00	500.00	530.00	490.00	380.00	435.00	400.00	80.00	25.00	135.00	3230.00	0.00	40.00	10.00	9630.00
101051539	Goulburn	10.00	15.00	3455.00	10.00	725.00	15.00	335.00	1850.00	495.00	1140.00	1470.00	1210.00	1145.00	905.00	90.00	50.00	480.00	5965.00	5.00	95.00	35.00	19500.00
101051540	Goulburn Surrounds	0.00	5.00	1540.00	5.00	345.00	5.00	170.00	455.00	425.00	390.00	605.00	430.00	460.00	345.00	55.00	30.00	135.00	2485.00	5.00	25.00	20.00	7935.00
